date,portfolio_value,benchmark_value,cash,gross_return,daily_return,benchmark_return,buy_turnover,sell_turnover,transaction_cost,total_weight,drawdown
2023-12-08,78945.69197896289,66289.274222228,0.0,0.004188005155084107,0.004188005155084107,0.002412048421233104,0.0,-0.0,0.0,1.0,-0.3689603492915937
2023-12-11,79130.66093714478,66679.07788503704,0.0,0.0023429898902043163,0.0023429898902043163,0.005880342896835256,0.0,-0.0,0.0,1.0,-0.3674818297696659
2023-12-12,79056.75888805334,66822.40436768252,0.0,-0.0009339243248598578,-0.0009339243248598578,0.002149497071519013,0.0,-0.0,0.0,1.0,-0.3680725538747599
2023-12-13,77598.43446501988,65707.20379106312,0.0,-0.01844654958722123,-0.01844654958722123,-0.016689022000512588,0.0,-0.0,0.0,1.0,-0.37972943484523514
2023-12-14,77135.58766602774,65363.02694714978,0.0,-0.00596464093873923,-0.00596464093873923,-0.005238038206704987,0.0,-0.0,0.0,1.0,-0.38342912605125223
2023-12-15,76798.24317960003,65160.03425820005,0.0,-0.004373396205760339,-0.004373396205760339,-0.0031056194676214455,0.0,-0.0,0.0,1.0,-0.38612563477196216
2023-12-18,77457.41962533166,64922.52628993126,0.0,0.008583222980636185,0.008583222980636185,-0.0036449945272842843,0.0,-0.0,0.0,1.0,-0.38085661421311334
2023-12-19,77397.49515739904,65013.5894985954,0.0,-0.0007736439997934049,-0.0007736439997934049,0.0014026442572101505,0.0,-0.0,0.0,1.0,-0.38133561077853917
2023-12-20,76818.89618419531,64301.060833060845,0.0,-0.00747568086056365,-0.00747568086056365,-0.010959688136431223,0.0,-0.0,0.0,1.0,-0.3859605483121543
2023-12-21,77311.40394568005,64951.7762038811,0.0,0.00641128401928377,0.00641128401928377,0.010119823256254712,0.0,-0.0,0.0,1.0,-0.3820237669883383
2023-12-22,77099.85960550392,65075.793173020626,0.0,-0.002736263078662682,-0.002736263078662682,0.001909369941635486,0.0,-0.0,0.0,1.0,-0.3837147125382191
2023-12-25,77180.47132366592,65275.08201544481,0.0,0.0010455494805627465,0.0010455494805627465,0.0030624112701065354,0.0,-0.0,0.0,1.0,-0.383070355776035
2023-12-26,77090.93302585997,64833.21502923807,0.0,-0.0011601159758465093,-0.0011601159758465093,-0.00676930572223855,0.0,-0.0,0.0,1.0,-0.3837860657122725
2023-12-27,77084.94352598152,65058.83069850838,0.0,-7.76939601500937e-05,-7.76939601500937e-05,0.0034799395521039056,0.0,-0.0,0.0,1.0,-0.383833941813127
2023-12-28,78774.07815106107,66583.33488057004,0.0,0.021912640106043928,0.021912640106043928,0.023432701843757897,0.0,-0.0,0.0,1.0,-0.3703321167345184
2023-12-29,79016.51058487642,66906.45026300648,0.0,0.0030775661169966553,0.0030775661169966553,0.0048527966196947325,0.0,-0.0,0.0,1.0,-0.3683942721920195
2024-01-02,78329.17408715229,66033.63264031419,0.0,-0.008398644025615699,-0.008698644025615699,-0.013045343449865965,0.2,0.2,0.00030000000000000003,1.0,-0.37388838558276105
2024-01-03,78435.40897241149,65876.65714997108,0.0,0.0013562620377052025,0.0013562620377052025,-0.002377205131181337,0.0,-0.0,0.0,1.0,-0.3730392141687606
2024-01-04,78164.81224924582,65267.283942682785,0.0,-0.003449930671756385,-0.003449930671756385,-0.00925021447128127,0.0,-0.0,0.0,1.0,-0.37520218541378825
2024-01-05,77350.57934970221,64917.45611441748,0.0,-0.010416872709260195,-0.010416872709260195,-0.005359926246854663,0.0,-0.0,0.0,1.0,-0.38171062471735673
2024-01-08,76313.25262123455,64077.98263191149,0.0,-0.01341071698736609,-0.01341071698736609,-0.012931398313365983,0.0,-0.0,0.0,1.0,-0.3900023285455676
2024-01-09,76358.71512014572,64203.5611198947,0.0,0.0005957353061179174,0.0005957353061179174,0.0019597759296603456,0.0,-0.0,0.0,1.0,-0.38963893139603256
2024-01-10,76358.65951755618,63903.8447164725,0.0,-7.281760759036103e-07,-7.281760759036103e-07,-0.004668220861807182,0.0,-0.0,0.0,1.0,-0.3896393758463603
2024-01-11,76342.80335099113,64265.37441460901,0.0,-0.00020765380986549316,-0.00020765380986549316,0.0056574013620078745,0.0,-0.0,0.0,1.0,-0.3897661195553578
2024-01-12,76338.60210420049,64041.12507432692,0.0,-5.5031340299827036e-05,-5.5031340299827036e-05,-0.003489427118798738,0.0,-0.0,0.0,1.0,-0.3897997015436949
2024-01-15,76656.00577492296,63977.75026076894,0.0,0.004157839703289512,0.004157839703289512,-0.0009895955682294177,0.0,-0.0,0.0,1.0,-0.38726258651581413
2024-01-16,77010.39596772578,64366.96835401161,0.0,0.004623123644654604,0.004623123644654604,0.006083647700274586,0.0,-0.0,0.0,1.0,-0.3844298256915709
2024-01-17,75357.9254930739,62966.87628152857,0.0,-0.02145775844789091,-0.02145775844789091,-0.021751716886566408,0.0,-0.0,0.0,1.0,-0.3976385817996073
2024-01-18,76344.7638023472,63857.046758444034,0.0,0.013095348668588216,0.013095348668588216,0.014137123031726428,0.0,-0.0,0.0,1.0,-0.38975044900376776
2024-01-19,76649.65729803567,63760.522994555206,0.0,0.0039936399106274,0.0039936399106274,-0.0015115600985112776,0.0,-0.0,0.0,1.0,-0.3873133320414668
2024-01-22,75819.7786569124,62768.363437798034,0.0,-0.010826906086435063,-0.010826906086435063,-0.015560718610195368,0.0,-0.0,0.0,1.0,-0.39394683305586475
2024-01-23,76242.15386633563,63022.44826159634,0.0,0.0055707787190264705,0.0055707787190264705,0.004047975921024349,0.0,-0.0,0.0,1.0,-0.3905706449708537
2024-01-24,77574.37470776826,63903.45909748976,0.0,0.017473546770048375,0.017473546770048375,0.013979317849355466,0.0,-0.0,0.0,1.0,-0.37992175263271155
2024-01-25,77810.15223664539,65186.746704028905,0.0,0.0030393738881597356,0.0030393738881597356,0.02008166106597442,0.0,-0.0,0.0,1.0,-0.37803710299904747
2024-01-26,78111.9692152276,65009.30008250346,0.0,0.0038788894495964017,0.0038788894495964017,-0.0027221272804288654,0.0,-0.0,0.0,1.0,-0.37562457767983004
2024-01-29,78049.60854917791,64427.02970075496,0.0,-0.0007983496854093721,-0.0007983496854093721,-0.008956724361122936,0.0,-0.0,0.0,1.0,-0.3761230476018168
2024-01-30,77136.31498313765,63278.09460423834,0.0,-0.011701449667935451,-0.011701449667935451,-0.017833122244702238,0.0,-0.0,0.0,1.0,-0.38342331235928895
2024-01-31,76809.77936937247,62699.14245003263,0.0,-0.004233228069510009,-0.004233228069510009,-0.009149329761375613,0.0,-0.0,0.0,1.0,-0.38603342210041514
2024-02-01,76517.75482404481,62745.15964863925,0.0,-0.0029019188145734676,-0.0038019188145734678,0.0007339366506216027,0.6000000000000001,0.6000000000000001,0.0009000000000000001,1.0,-0.38836767318445087
2024-02-02,76269.94940220579,62002.600309733,0.0,-0.003238534930995552,-0.003238534930995552,-0.011834527843493148,0.0,-0.0,0.0,1.0,-0.3903484658397691
2024-02-05,77514.64641486412,62408.00487879428,0.0,0.016319625519803038,0.016319625519803038,0.006538509143746873,0.0,-0.0,0.0,1.0,-0.3803991811047006
2024-02-06,78351.45495295274,64577.763876451536,0.0,0.010795489327397267,0.010795489327397267,0.034767318741742326,0.0,-0.0,0.0,1.0,-0.37371028707707
2024-02-07,78911.51523532227,65200.590901582,0.0,0.007148052103254644,0.007148052103254644,0.009644605011750462,0.0,-0.0,0.0,1.0,-0.3692335355773644
2024-02-08,78522.25417552904,65615.94063181533,0.0,-0.004932880310717725,-0.004932880310717725,0.006370336901705187,0.0,-0.0,0.0,1.0,-0.37234503105037586
2024-02-19,79662.34359200737,66374.1008769738,0.0,0.01451931593723428,0.01451931593723428,0.011554513093284147,0.0,-0.0,0.0,1.0,-0.36323191025662127
2024-02-20,80494.11724829637,66511.38123482821,0.0,0.010441240098947624,0.010441240098947624,0.0020682819961488352,0.0,-0.0,0.0,1.0,-0.35658326174426247
2024-02-21,82790.93199016785,67408.7689756675,0.0,0.02853394534145406,0.02853394534145406,0.013492243345104127,0.0,-0.0,0.0,1.0,-0.33822404370309667
2024-02-22,83030.90716990126,67989.86345755507,0.0,0.002898568405558067,0.002898568405558067,0.008620458298197464,0.0,-0.0,0.0,1.0,-0.33630584082461645
2024-02-23,82583.98833096113,68049.72961444296,0.0,-0.005382559990891322,-0.005382559990891322,0.0008805159158065123,0.0,-0.0,0.0,1.0,-0.3398782144519822
2024-02-26,81787.87930177996,67340.32398659574,0.0,-0.009639992512721808,-0.009639992512721808,-0.01042481185254629,0.0,-0.0,0.0,1.0,-0.3462417835221496
2024-02-27,82132.11957853902,68148.20527688638,0.0,0.004208940000618889,0.004208940000618889,0.011996991437870808,0.0,-0.0,0.0,1.0,-0.3434901544140827
2024-02-28,82218.2643076707,67279.87226014148,0.0,0.0010488555460853367,0.0010488555460853367,-0.012741832498990524,0.0,-0.0,0.0,1.0,-0.3428015704214804
2024-02-29,82544.21458510979,68563.35981726425,0.0,0.0039644509669936046,0.0039644509669936046,0.019076842954756312,0.0,-0.0,0.0,1.0,-0.340196139471831
2024-03-01,83194.70592616498,68986.89799997053,0.0,0.00788052008641369,0.00788052008641369,0.006177325379548071,0.0,-0.0,0.0,1.0,-0.3349965418958456
2024-03-04,83080.12977439394,69046.76415685842,0.0,-0.0013772048412880496,-0.0013772048412880496,0.0008677902416762695,0.0,-0.0,0.0,1.0,-0.33591238787781985
2024-03-05,84075.90640171964,69527.2406486207,0.0,0.011985737504620576,0.011985737504620576,0.0069587112101408,0.0,-0.0,0.0,1.0,-0.3279528080788532
2024-03-06,83530.35175520214,69245.27223986077,0.0,-0.006488834552800516,-0.006488834552800516,-0.004055509842321392,0.0,-0.0,0.0,1.0,-0.3323136111189037
2024-03-07,84384.88319065716,68829.33694006107,0.0,0.010230190792915027,0.010230190792915027,-0.006006696000254608,0.0,-0.0,0.0,1.0,-0.3254830519708176
2024-03-08,84250.41671861084,69125.53992608501,0.0,-0.0015934900536926258,-0.0015934900536926258,0.004303440933651315,0.0,-0.0,0.0,1.0,-0.3265578880185491
2024-03-11,83870.77849293571,69990.36428615982,0.0,-0.004506069411419999,-0.004506069411419999,0.012510923762759196,0.0,-0.0,0.0,1.0,-0.32959246491971084
2024-03-12,82827.52578636585,70150.84843317301,0.0,-0.0124388103379502,-0.0124388103379502,0.0022929463026801766,0.0,-0.0,0.0,1.0,-0.3379315370977073
2024-03-13,82361.13937353749,69660.81715994957,0.0,-0.005630814254083872,-0.005630814254083872,-0.0069853933939265644,0.0,-0.0,0.0,1.0,-0.3416595216357968
2024-03-14,82067.97031200532,69463.08507564089,0.0,-0.0035595556807747953,-0.0035595556807747953,-0.0028384979156169665,0.0,-0.0,0.0,1.0,-0.3440029212254423
2024-03-15,82213.04394450225,69614.60001075931,0.0,0.001767725361616646,0.001767725361616646,0.002181229568963605,0.0,-0.0,0.0,1.0,-0.342843298552146
2024-03-18,81420.39070355729,70268.6288483942,0.0,-0.00964145350803507,-0.00964145350803507,0.009394995267283157,0.0,-0.0,0.0,1.0,-0.34917924433664915
2024-03-19,81118.64212949712,69763.57747775674,0.0,-0.003706056571980865,-0.003706056571980865,-0.007187437394389873,0.0,-0.0,0.0,1.0,-0.35159122287535693
2024-03-20,81381.25539727422,69914.70203316424,0.0,0.0032373972354943666,0.0032373972354943666,0.0021662386143497248,0.0,-0.0,0.0,1.0,-0.34949206609282324
2024-03-21,81076.23697528277,69831.05127827938,0.0,-0.0037480181462236748,-0.0037480181462236748,-0.0011964687319296896,0.0,-0.0,0.0,1.0,-0.35193018163336987
2024-03-22,81419.92515307911,69127.29663478411,0.0,0.004239074118611487,0.004239074118611487,-0.010077961460021045,0.0,-0.0,0.0,1.0,-0.34918296563927853
2024-03-25,81622.90312066856,68752.11792894999,0.0,0.00249297659274208,0.00249297659274208,-0.005427359727609327,0.0,-0.0,0.0,1.0,-0.3475604940064594
2024-03-26,82319.72505823277,69102.92170649258,0.0,0.008537088377438053,0.008537088377438053,0.005102443213533148,0.0,-0.0,0.0,1.0,-0.34199056028286046
2024-03-27,82649.23854463382,68304.20481795218,0.0,0.004002849695719379,0.004002849695719379,-0.011558366402116382,0.0,-0.0,0.0,1.0,-0.3393566473973083
2024-03-28,83001.15702880322,68658.51725216486,0.0,0.004257976121332963,0.004257976121332963,0.005187271195924437,0.0,-0.0,0.0,1.0,-0.3365436437772087
2024-03-29,83066.43902467398,68980.65668532401,0.0,0.0007865191065722144,0.0007865191065722144,0.004691907807679696,0.0,-0.0,0.0,1.0,-0.3360218226766626
2024-04-01,85662.59266286173,70114.96682486571,0.0,0.0321539416480416,0.0312539416480416,0.016443887229375065,0.6000000000000001,0.6000000000000001,0.0009000000000000001,1.0,-0.3152698874670261
2024-04-02,85608.67892811885,69823.05325493371,0.0,-0.0006293731378767212,-0.0006293731378767212,-0.004163356030120524,0.0,-0.0,0.0,1.0,-0.3157008382065497
2024-04-03,85283.52532875378,69571.8962789673,0.0,-0.003798138266309325,-0.003798138266309325,-0.0035970494594300684,0.0,-0.0,0.0,1.0,-0.31829990103856076
2024-04-08,83830.0565189571,68959.79041370258,0.0,-0.01704278527645027,-0.01704278527645027,-0.00879817710890507,0.0,-0.0,0.0,1.0,-0.3299179694480956
2024-04-09,83170.08684021808,68902.85210464658,0.0,-0.007872709457016637,-0.007872709457016637,-0.0008256740444601007,0.0,-0.0,0.0,1.0,-0.3351933305869984
2024-04-10,82447.696913993,68341.64318437497,0.0,-0.00868569402377677,-0.00868569402377677,-0.008144930189816657,0.0,-0.0,0.0,1.0,-0.34096763790248585
2024-04-11,82400.59083022697,68332.47878262473,0.0,-0.0005713450530360431,-0.0005713450530360431,-0.00013409688914722828,0.0,-0.0,0.0,1.0,-0.34134417278236107
2024-04-12,81718.16859232738,67778.6823161324,0.0,-0.00828176389299935,-0.00828176389299935,-0.008104439885080583,0.0,-0.0,0.0,1.0,-0.3467990048301257
2024-04-15,84519.57060721594,69206.85792416071,0.0,0.034281262822519844,0.034281262822519844,0.02107116218882843,0.0,-0.0,0.0,1.0,-0.32440644983877576
2024-04-16,84456.50212283424,68466.44567366451,0.0,-0.0007461997727697288,-0.0007461997727697288,-0.010698538738856733,0.0,-0.0,0.0,1.0,-0.3249105775923907
2024-04-17,84653.16928521934,69525.09356021063,0.0,0.002328620738981946,0.002328620738981946,0.015462287783887918,0.0,-0.0,0.0,1.0,-0.3233385503627051
2024-04-18,85160.97094936347,69610.89616423374,0.0,0.005998613736872782,0.005998613736872782,0.001234124251106472,0.0,-0.0,0.0,1.0,-0.31927951969569857
2024-04-19,84199.80434773173,69062.16511252699,0.0,-0.011286468330700884,-0.011286468330700884,-0.007882832745208734,0.0,-0.0,0.0,1.0,-0.3269624498387127
2024-04-22,84091.13886892835,68852.34553936435,0.0,-0.001290566880115418,-0.001290566880115418,-0.003038126198632196,0.0,-0.0,0.0,1.0,-0.32783104981002487
2024-04-23,83474.89233684681,68371.08828818025,0.0,-0.007328317113674432,-0.007328317113674432,-0.006989700168006152,0.0,-0.0,0.0,1.0,-0.33275691703098254
2024-04-24,83622.07256968104,68671.39026116884,0.0,0.0017631676868814284,0.0017631676868814284,0.004392236258150994,0.0,-0.0,0.0,1.0,-0.3315804555877965
2024-04-25,84180.34782601627,68840.25805051044,0.0,0.006676171005807374,0.006676171005807374,0.002459070490627324,0.0,-0.0,0.0,1.0,-0.32711797240567675
2024-04-26,86120.25011969841,69893.05976284915,0.0,0.02304459822013958,0.02304459822013958,0.01529340159599979,0.0,-0.0,0.0,1.0,-0.3116116764302127
