date,method,rolling_12m_return_percent,rolling_12m_volatility_percent,rolling_12m_sharpe_ratio,rolling_12m_maximum_drawdown_percent
2026-02-09,Walk-Forward Portfolio After Costs,19.928332093003732,15.640272213237779,1.114629177228731,-10.734317486957924
2026-02-10,Walk-Forward Portfolio After Costs,20.259651757173458,15.639482585632484,1.132331479630925,-10.734317486957924
2026-02-11,Walk-Forward Portfolio After Costs,21.688710563304348,15.599593604231815,1.2106140867248696,-10.734317486957924
2026-02-12,Walk-Forward Portfolio After Costs,20.70557429531248,15.574733949847452,1.1601741235853533,-10.734317486957924
2026-02-13,Walk-Forward Portfolio After Costs,17.34180801052063,15.557420854238686,0.9795005344507421,-10.734317486957924
2026-02-24,Walk-Forward Portfolio After Costs,19.0253257842921,15.679130835022464,1.0640057646196845,-10.734317486957924
2026-02-25,Walk-Forward Portfolio After Costs,19.119207665798466,15.678327694250802,1.069084877029657,-10.734317486957924
2026-02-26,Walk-Forward Portfolio After Costs,17.98022537358237,15.650002743899282,1.0093038191922776,-10.734317486957924
2026-02-27,Walk-Forward Portfolio After Costs,18.896490118110698,15.625136716384173,1.060208126717902,-10.734317486957924
2026-03-02,Walk-Forward Portfolio After Costs,17.509869693631487,15.573207626061553,0.9878485733219473,-10.734317486957924
2026-03-03,Walk-Forward Portfolio After Costs,14.848404138641612,15.702336428670865,0.8350315110990899,-10.734317486957924
2026-03-04,Walk-Forward Portfolio After Costs,15.983889471316036,15.632262570681515,0.9010416663387059,-10.734317486957924
2026-03-05,Walk-Forward Portfolio After Costs,16.191941184346526,15.647397196143611,0.9117797480528559,-10.734317486957924
2026-03-06,Walk-Forward Portfolio After Costs,17.52241738122793,15.618108832078384,0.9861445420654978,-10.734317486957924
2026-03-09,Walk-Forward Portfolio After Costs,15.14670444266697,15.531968821755369,0.8591944025150902,-10.734317486957924
2026-03-10,Walk-Forward Portfolio After Costs,15.689108507942073,15.541638642921832,0.8890124064599928,-10.734317486957924
2026-03-11,Walk-Forward Portfolio After Costs,18.292531896244736,15.521369870032304,1.0334389161541573,-10.734317486957924
2026-03-12,Walk-Forward Portfolio After Costs,17.750362858263657,15.520574451523341,1.0038648215186121,-10.734317486957924
2026-03-13,Walk-Forward Portfolio After Costs,17.336552842290743,15.528128332984089,0.9807645901559592,-10.734317486957924
2026-03-16,Walk-Forward Portfolio After Costs,17.818221471781737,15.480181085285516,1.0097972697679638,-10.734317486957924
2026-03-17,Walk-Forward Portfolio After Costs,16.1242849786577,15.517069488952604,0.9143751273648109,-10.734317486957924
2026-03-18,Walk-Forward Portfolio After Costs,15.527959445710259,15.509243683653645,0.8815417773855934,-10.734317486957924
2026-03-19,Walk-Forward Portfolio After Costs,12.690052136086383,15.615774832667494,0.71723778617521,-10.734317486957924
2026-03-20,Walk-Forward Portfolio After Costs,9.665963052311156,15.6064905798558,0.5432011301487742,-10.734317486957924
2026-03-23,Walk-Forward Portfolio After Costs,5.438942466397423,16.063199272613087,0.28757135238225606,-10.734317486957924
2026-03-24,Walk-Forward Portfolio After Costs,7.346604235889664,16.107461732407145,0.3985698219641381,-10.734317486957924
2026-03-25,Walk-Forward Portfolio After Costs,8.747175285612752,16.17426896978932,0.47775422279064117,-10.734317486957924
2026-03-26,Walk-Forward Portfolio After Costs,7.6496997645601805,16.226558908208403,0.41420632017253584,-10.734317486957924
2026-03-27,Walk-Forward Portfolio After Costs,8.183352069528693,16.230429402714766,0.44462460093080003,-10.734317486957924
2026-03-30,Walk-Forward Portfolio After Costs,6.94023082625792,16.18359701988427,0.37400936818772473,-10.734317486957924
2026-03-31,Walk-Forward Portfolio After Costs,7.7836349866805765,16.19217223179147,0.4224282076449031,-10.734317486957924
