date,trained_return,original_return,benchmark_return,trained_value,original_value,benchmark_value,trained_transaction_cost,original_transaction_cost
2025-02-25,-0.014088367652758272,-0.013810034636546021,-0.011101555949693198,107932.4170871567,91003.12032800447,100889.47589677309,0.0,0.0
2025-02-26,0.006878706616270125,0.010492857408338763,0.008734869363166586,108674.85251868416,91958.00309332012,101770.73228884974,0.0,0.0
2025-02-27,0.002892859908112744,0.014503350286973249,0.0020657322844004344,108989.23364255553,93291.7022238731,101980.96337614588,0.0,0.0
2025-02-28,-0.03089788125265891,-0.005350942673404857,-0.019674320850627147,105621.69724364956,92792.5036733688,99974.55718202754,0.0,0.0
2025-03-03,-0.009426962080925716,0.003012612274761696,-0.00040618452337803923,104626.00550881065,93072.05150894106,99933.94906416863,0.0009000000000000001,0.0009000000000000001
2025-03-04,-0.0014694419348830093,-0.019696664156207966,-0.0008358043200761278,104472.2636688367,91238.84256804017,99850.42383781853,0.0,0.0
2025-03-05,-0.0025002508182302876,0.011073823194282741,0.00446566675428417,104211.05680611634,92249.20537908965,100296.32255595224,0.0,0.0
2025-03-06,0.01565311720144931,0.010566705357816852,0.013752455672772168,105842.28469198938,93223.97555182323,101675.64328604503,0.0,0.0
2025-03-07,-0.0008618172739659471,0.001426453864493938,-0.0030913141009996092,105751.0679827258,93356.9552520126,101361.33193622668,0.0,0.0
2025-03-10,-0.005387072470907795,-0.009714052901048565,-0.003856471180306076,105181.37931562697,92450.08085001374,100970.43488081718,0.0,0.0
2025-03-11,0.00655599148406143,0.004407030620417741,0.003212144392698013,105870.94754270205,92857.51118717986,101294.76649704787,0.0,0.0
2025-03-12,-0.007926708453111076,0.0032898029408776172,-0.0036002105047207023,105031.73940787645,93162.99410056602,100930.08401463197,0.0,0.0
2025-03-13,-0.0030846627540464192,0.0015740299851136675,-0.003984972212368931,104707.75191333226,93309.63544678329,100527.88043444161,0.0,0.0
2025-03-14,0.04362023567226756,0.038984930084114834,0.024281742562273667,109275.12872850514,96947.30506085037,102968.87254748175,0.0,0.0
2025-03-17,-0.0018799019556802854,-0.009461569483329412,-0.0024385056977479502,109069.7022003012,96030.0313977956,102717.78236508404,0.0,0.0
2025-03-18,0.007250465983806365,0.0016310873643708536,0.002734677462113755,109860.50836596837,96186.66476860867,102998.68236947614,0.0,0.0
2025-03-19,0.00787503695085956,0.01889326321745446,0.0006113079730580839,110725.66392879057,98003.94474409106,103061.64628522308,0.0,0.0
2025-03-20,-0.016179745354043276,-0.008758785832054517,-0.00877267854629371,108934.15088226537,97145.54918138107,102157.519591911,0.0,0.0
2025-03-21,-0.01742102641474477,-0.026064861130833266,-0.015167343618630147,107036.40616227764,94613.46393248983,100608.06138903354,0.0,0.0
2025-03-24,0.0013255015825221822,0.005534957592793478,0.005147302918667718,107178.2830880332,95137.14544306345,101125.92155706281,0.0,0.0
2025-03-25,0.0011337441072284853,-0.0019429827015106317,-0.0006480675921158863,107299.79583490714,94952.29561519648,101060.38512457882,0.0,0.0
2025-03-26,0.005332773883021802,-0.01008895295296155,-0.0032906800716049345,107872.0013837891,93994.32637195908,100727.82772922065,0.0,0.0
2025-03-27,0.010470811438427055,0.011743828482626117,0.0033295753209277024,109001.50876976449,95098.17961921134,101063.2086185585,0.0,0.0
2025-03-28,-0.0003446305253842708,-0.005041075043088372,-0.0043840776062755715,108963.94352252949,94618.7825592898,100620.13966883555,0.0,0.0
2025-03-31,-0.0012977801679747718,-0.011296536512062973,-0.0071158758973882685,108822.53227760164,93549.91802738183,99904.13924217423,0.0,0.0
2025-04-01,0.000925627241330817,-0.017568511601389745,9.514884104944166e-05,108923.26137794837,91906.38520720873,99913.64500523916,0.00030000000000000003,0.0006000000000000001
2025-04-02,-0.00384952211149876,-0.0025994465156313536,-0.0008462731295658665,108503.95887481738,91667.47947441757,99829.09077219423,0.0,0.0
2025-04-03,-0.0014410152719228414,-0.005517776001090891,-0.00589278965581197,108347.6030130147,91161.67885609315,99240.81893874274,0.0,0.0
2025-04-07,-0.051748373344884434,-0.06320403342973177,-0.0704545017723035,102740.79080127388,85399.89305816215,92248.85648493824,0.0,0.0
2025-04-08,0.027455684211917176,0.026318664642456115,0.0170834640947779,105561.60950919629,87647.50420406154,93824.786512483,0.0,0.0
2025-04-09,-0.0006790744525859931,-0.006117453919398774,0.00986918592306707,105489.92531700475,87111.32463594287,94750.76077476676,0.0,0.0
2025-04-10,0.0073643187898556626,0.015276024803706602,0.013108985760764913,106266.78675615723,88442.0393917653,95992.84714858483,0.0,0.0
2025-04-11,-0.0006368915648149896,0.015227633067545644,0.004123000562387791,106199.10633605225,89788.8023153685,96388.62571136365,0.0,0.0
2025-04-14,-0.007974308808969412,-0.007028456943715922,0.0022983141009742525,105352.24186689199,89157.72558426713,96610.1570490096,0.0,0.0
2025-04-15,0.007674533731191825,0.01318663839827452,0.0005560016254653188,106160.77120075613,90333.41627195946,96663.87245336531,0.0,0.0
2025-04-16,0.004736493684204235,-0.002952531564949901,0.0030814621681762855,106663.60102305876,90066.70400904673,96961.73851935979,0.0,0.0
2025-04-17,-0.00021981560618464777,-0.0020949308678644752,-0.00015905811710525963,106640.15469894203,89878.02049065137,96946.31596779964,0.0,0.0
2025-04-18,-0.0035540777123982178,0.0017077388825515794,7.954171030721824e-05,106261.14730187983,90031.50868093001,96954.02724357971,0.0,0.0
